case_id,case_name,symbol,tsym,time,utc,open,high,low,close,volumefrom,volumeto,conversionType,conversionSymbol,context_claims
terra_ust_2022,Terra UST collapse,USTC,USD,1652086800,2022-05-09T09:00:00Z,0.9943,0.9945,0.994,0.9943,2180276.91,2167533.43,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652090400,2022-05-09T10:00:00Z,0.9943,0.9952,0.9942,0.9951,4107636.66,4085764.51,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652094000,2022-05-09T11:00:00Z,0.9951,0.9952,0.9942,0.9943,2753991.05,2738940.11,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652097600,2022-05-09T12:00:00Z,0.9943,0.9948,0.9942,0.9945,4028829.41,4006179.05,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652101200,2022-05-09T13:00:00Z,0.9945,0.9945,0.9885,0.9905,10474422.29,10396064.34,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652104800,2022-05-09T14:00:00Z,0.9905,0.9911,0.9883,0.9886,10889815.59,10777079.48,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652108400,2022-05-09T15:00:00Z,0.9886,0.9901,0.9578,0.9853,10791607.36,10634890.42,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652112000,2022-05-09T16:00:00Z,0.9853,0.9859,0.9764,0.9803,26036525.85,25537572.84,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652115600,2022-05-09T17:00:00Z,0.9803,0.9812,0.9761,0.9793,25179596.78,24664062.1,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652119200,2022-05-09T18:00:00Z,0.9793,0.9793,0.9081,0.9389,79110495.59,75153557.08,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652122800,2022-05-09T19:00:00Z,0.9389,0.944,0.9284,0.9362,39655912.29,37209186.66,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652126400,2022-05-09T20:00:00Z,0.9362,0.9452,0.9322,0.9324,54216710.8,50984377.28,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652130000,2022-05-09T21:00:00Z,0.9324,0.9387,0.8718,0.8718,47023900.52,43357707.63,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652133600,2022-05-09T22:00:00Z,0.8718,0.9248,0.8346,0.8886,107083565.2,96038874.56,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652137200,2022-05-09T23:00:00Z,0.8886,0.8896,0.7494,0.7569,55465630.96,45772293.02,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652140800,2022-05-10T00:00:00Z,0.7744,0.82,0.6307,0.8146,125076386.21,91778638.06,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652144400,2022-05-10T01:00:00Z,0.8146,0.8658,0.7588,0.8137,76050561.13,61625847.69,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652148000,2022-05-10T02:00:00Z,0.8137,0.8318,0.7828,0.7865,47628450.25,38366478.33,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652151600,2022-05-10T03:00:00Z,0.7865,0.8049,0.7633,0.7936,49388580.43,38804396.67,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652155200,2022-05-10T04:00:00Z,0.7936,0.8775,0.7806,0.8762,67825446.99,55695395.95,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652158800,2022-05-10T05:00:00Z,0.8762,0.9136,0.8602,0.9097,50752554.21,44870741.68,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652162400,2022-05-10T06:00:00Z,0.9097,0.9509,0.9097,0.9418,39155599.83,36619817.74,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652166000,2022-05-10T07:00:00Z,0.9418,0.9421,0.8601,0.9132,30927008.73,28229906.64,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652169600,2022-05-10T08:00:00Z,0.9132,0.9278,0.8992,0.9233,38732846.02,35455486.73,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652173200,2022-05-10T09:00:00Z,0.9233,0.9462,0.918,0.933,24963062.47,23340725.94,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652176800,2022-05-10T10:00:00Z,0.933,0.933,0.9168,0.928,27354765.41,25339665.49,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652180400,2022-05-10T11:00:00Z,0.928,0.9525,0.928,0.9507,32968087.99,31203444.15,direct,,CLAIM_107
